SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
377,0.97,12.98,8.37,7.09651662761542,9.88,3.4174695008378
627,1.09,37.83,2.43,5.11696517412935,1.16,5.33190204429038
1108,1.2,21.7,5.25,5.8925838938244,1.46,4.34569761020477
1575,0.56,17.87,1.98,2.54452491602628,0.81,2.78210073394603
1346,0.74,20.65,3.77,4.31133229914501,0.79,3.46959872118244
626,0.9,33.11,1.9,5.63496402305703,1.37,5.88445181600969
866,0.68,10.31,2.48,2.82123415340086,0.78,1.95877184832049
376,0.8,21.82,3.3,4.42210321793309,1.14,3.57990440460957
1574,0.41,17.48,2.96,4.04423782819268,0.48,4.18931174728813
1345,0.81,18.04,5.275,5.13978343054656,1.05,3.4997576678698
1573,0.55,14.86,1.43,2.82304906475636,0.59,2.88748270414985
625,0.94,29.47,1.71,6.07678030769228,1.26,6.53985492514065
865,0.78,10.49,1.38,2.43666748728047,0.99,1.85970797363794
1107,1.16,18.42,4.26,5.48242034333389,1.22,3.80504768871685
375,0.69,17.91,3.47,4.3458182519528,3.5,3.24229299188046
1344,0.87,18.36,5.47,5.51378045398724,1.94,3.56191440685909
1572,0.67,17.11,2.69,4.18869009431703,1.09,3.93323286592614
624,0.88,31.47,1.6,6.20552287985494,0.92,6.37113715546952
864,0.62,9.51,1.63,2.50586339625734,1.05,1.73711261415206
374,0.65,17.21,3.68,4.01003343191462,0.7,2.97262450697795
1106,1.09,23.4,3.47,4.44293318743565,1.15,3.72415629812965
1571,0.64,10.63,4.36,4.1460439522882,1.13,2.73490508368837
1343,0.89,18.26,4.73,4.93171159929189,2.69,3.3116450229224
623,0.93,33.21,1.69,4.55603541551209,0.99,5.05983718417104
373,0.68,15.04,2.05,3.48120861702514,0.73,2.90926337132742
